interval_begin;interval_end;interval_id;edge_id;lane_arrived;lane_density;lane_departed;lane_entered;lane_id;lane_laneChangedFrom;lane_laneChangedTo;lane_laneDensity;lane_left;lane_occupancy;lane_overlapTraveltime;lane_sampledSeconds;lane_speed;lane_speedRelative;lane_timeLoss;lane_traveltime;lane_waitingTime
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#0;0;0.89;0;30;-100289765#0_0;0;0;0.89;30;0.39;4.21;126.29;10.51;0.76;16.85;3.51;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#1;0;0.96;10;20;-100289765#1_0;0;0;0.96;30;0.44;4.72;136.09;9.42;0.68;43.39;4.33;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#2;0;25.95;0;20;-100289765#2_0;0;0;25.95;20;0.50;0.93;18.68;5.57;0.40;11.03;0.04;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#0;5;0.12;0;5;-100289774#0_0;0;0;0.12;0;0.06;3.99;19.51;12.37;0.89;1.94;3.61;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#1;5;0.27;0;10;-100289774#1_0;0;0;0.27;5;0.12;4.55;44.78;11.37;0.82;6.63;4.14;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#2;5;0.88;0;20;-100289774#2_0;0;0;0.88;15;0.37;7.85;156.29;6.90;0.50;75.28;6.34;25.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#3;0;1.78;5;45;-100289774#3_0;0;0;1.78;50;0.78;5.17;255.44;8.68;0.62;69.43;4.34;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#4;0;0.82;0;30;-100289774#4_0;0;0;0.82;30;0.37;5.04;151.18;11.18;0.80;29.13;4.65;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289777;5;0.19;0;5;-100289777_0;0;0;0.19;0;0.08;3.63;17.69;8.49;0.61;6.38;3.16;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#0;0;4.76;0;160;-100289779#0_0;0;0;4.76;160;1.94;2.48;397.32;11.36;0.82;66.85;2.01;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#2;0;3.49;0;145;-100289779#2_0;0;0;3.49;145;1.65;9.12;1322.09;12.10;0.87;150.86;8.72;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#3;0;1.67;0;71;-100289779#3_0;0;0;1.67;71;0.80;10.74;762.58;12.29;0.89;71.15;10.33;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#4;0;1.15;0;41;-100289779#4_0;0;0;1.15;41;0.49;2.91;119.48;11.64;0.84;16.50;2.51;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#5;0;1.41;5;35;-100289779#5_0;0;0;1.41;40;0.58;2.61;101.71;9.58;0.69;25.30;2.10;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289780;5;0.42;10;5;-100289780_0;0;0;0.42;10;0.20;14.15;205.89;9.97;0.72;59.36;13.45;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#0;5;0.53;5;14;-100289784#0_0;0;0;0.53;14;0.25;15.06;282.87;10.22;0.74;59.50;14.20;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#1;0;0.39;0;14;-100289784#1_0;0;0;0.39;14;0.18;4.79;67.04;10.93;0.79;13.14;4.38;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289793;0;21.13;5;10;-100289793_0;0;0;21.13;15;0.41;1.03;15.21;5.06;0.36;8.26;0.03;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289802#1;0;0.47;5;5;-100289802#1_0;0;0;0.47;10;0.20;4.62;42.31;6.51;0.47;17.33;3.75;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289802#2;0;0.16;0;5;-100289802#2_0;0;0;0.16;5;0.07;6.11;30.57;9.43;0.68;10.48;5.48;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289812#1;0;1.25;5;25;-100289812#1_0;0;0;1.25;30;0.58;7.40;218.37;7.25;0.52;94.94;6.63;1.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289823;5;0.13;0;5;-100289823_0;0;0;0.13;0;0.06;12.11;60.29;10.86;0.78;9.30;11.70;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289829;5;0.24;0;10;-100289829_0;0;0;0.24;5;0.12;16.27;162.51;11.86;0.85;27.85;15.59;3.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#0;5;7.14;0;246;-100289830#0_0;0;0;7.14;241;2.98;2.63;647.50;11.45;0.82;112.31;2.17;18.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#2;0;8.57;0;246;-100289830#2_0;0;0;8.57;246;2.84;1.23;302.57;12.04;0.87;39.68;0.82;2.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#3;0;7.05;0;246;-100289830#3_0;0;0;7.05;246;2.94;2.70;663.83;11.54;0.83;111.06;2.29;1.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289832#0;0;0.79;5;25;-100289832#0_0;0;0;0.79;30;0.38;17.07;509.64;10.74;0.77;85.56;16.10;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289832#1;5;49.89;5;25;-100289832#1_0;0;0;49.89;25;0.96;1.38;35.92;3.77;0.27;25.79;0.07;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289857;0;0.21;5;0;-100289857_0;0;0;0.21;5;0.10;9.77;44.94;6.52;0.47;21.22;9.04;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289865#0;0;1.80;0;35;-100289865#0_0;0;0;1.80;35;0.83;9.11;318.71;5.97;0.43;154.39;8.13;53.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289865#1;0;1.17;5;30;-100289865#1_0;0;0;1.17;35;0.52;6.27;216.54;8.99;0.65;67.47;5.71;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#0;15;0.35;0;15;-100289866#0_0;0;0;0.35;0;0.17;15.89;237.27;12.32;0.89;21.60;15.50;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#1;0;0.39;0;15;-100289866#1_0;0;0;0.39;15;0.19;12.39;185.82;11.01;0.79;34.83;11.71;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#2;0;0.37;0;15;-100289866#2_0;0;0;0.37;15;0.17;11.37;170.61;11.83;0.85;21.71;10.97;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289874#1;0;0.61;0;10;-100289874#1_0;0;0;0.61;10;0.28;8.96;89.63;5.10;0.37;55.51;8.10;8.00
