interval_begin;interval_end;interval_id;edge_id;lane_arrived;lane_density;lane_departed;lane_entered;lane_id;lane_laneChangedFrom;lane_laneChangedTo;lane_laneDensity;lane_left;lane_occupancy;lane_overlapTraveltime;lane_sampledSeconds;lane_speed;lane_speedRelative;lane_timeLoss;lane_traveltime;lane_waitingTime
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#0;0;1.68;0;57;-100289765#0_0;0;0;1.68;57;0.73;4.16;237.31;10.63;0.77;32.35;3.49;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#1;0;1.76;15;42;-100289765#1_0;0;0;1.76;57;0.80;4.52;249.60;9.84;0.71;73.44;4.13;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#2;0;52.82;0;42;-100289765#2_0;0;0;52.82;42;1.02;0.91;38.03;5.74;0.41;22.29;0.04;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#0;8;0.37;0;12;-100289774#0_0;0;0;0.37;4;0.16;4.88;58.32;10.11;0.73;13.51;4.25;2.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#1;7;0.45;0;19;-100289774#1_0;0;0;0.45;12;0.20;4.02;75.68;12.87;0.93;5.55;3.64;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#2;8;1.80;0;34;-100289774#2_0;0;0;1.80;26;0.79;9.40;318.58;5.76;0.41;182.90;8.17;103.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#3;0;3.09;7;81;-100289774#3_0;0;0;3.09;88;1.35;5.08;443.42;8.82;0.63;118.01;4.27;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#4;0;1.53;0;57;-100289774#4_0;0;0;1.53;57;0.68;4.94;281.75;11.39;0.82;51.50;4.56;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289777;8;0.28;0;8;-100289777_0;0;0;0.28;0;0.12;3.38;25.59;9.12;0.66;8.56;2.90;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#0;0;9.10;0;252;-100289779#0_0;0;0;9.10;252;3.70;3.02;760.23;9.35;0.67;244.59;2.37;63.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#2;0;5.68;0;229;-100289779#2_0;0;0;5.68;229;2.70;9.40;2153.26;11.73;0.84;320.77;8.99;26.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#3;0;2.64;0;112;-100289779#3_0;0;0;2.64;112;1.27;10.78;1207.55;12.25;0.88;140.89;10.36;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#4;0;1.73;0;65;-100289779#4_0;0;0;1.73;65;0.73;2.76;179.70;12.27;0.88;22.05;2.38;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#5;0;1.96;8;52;-100289779#5_0;0;0;1.96;60;0.81;2.42;141.21;10.33;0.74;32.96;1.96;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289780;7;0.62;14;7;-100289780_0;0;0;0.62;14;0.30;14.93;305.17;9.45;0.68;86.24;14.15;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#0;7;0.65;8;16;-100289784#0_0;0;0;0.65;17;0.31;14.75;349.14;10.44;0.75;69.70;13.96;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#1;0;0.35;0;12;-100289784#1_0;0;0;0.35;12;0.16;4.95;59.39;10.57;0.76;10.75;4.52;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289793;0;32.16;7;14;-100289793_0;0;0;32.16;21;0.63;1.12;23.15;4.66;0.34;12.58;0.03;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289802#1;0;0.80;8;8;-100289802#1_0;0;0;0.80;16;0.35;4.96;72.68;6.07;0.44;31.45;4.01;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289802#2;0;0.29;0;8;-100289802#2_0;0;0;0.29;8;0.13;6.93;55.48;8.31;0.60;20.92;6.20;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289812#1;0;3.50;8;39;-100289812#1_0;0;0;3.50;47;1.67;13.25;612.61;4.05;0.29;421.26;12.43;167.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289823;8;0.19;0;8;-100289823_0;0;0;0.19;0;0.09;10.70;85.05;12.30;0.89;13.65;10.32;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289829;8;0.39;0;16;-100289829_0;0;0;0.39;8;0.19;16.74;267.21;11.53;0.83;38.27;16.18;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#0;7;11.96;0;358;-100289830#0_0;0;0;11.96;351;5.00;3.03;1083.71;9.96;0.72;297.96;2.46;31.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#2;0;13.72;0;358;-100289830#2_0;0;0;13.72;358;4.54;1.35;484.45;10.94;0.79;98.60;0.92;20.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#3;0;10.81;0;358;-100289830#3_0;0;0;10.81;358;4.51;2.84;1016.98;10.96;0.79;205.68;2.41;20.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289832#0;0;1.26;8;39;-100289832#0_0;0;0;1.26;47;0.60;17.24;806.39;10.63;0.77;145.55;16.28;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289832#1;8;79.07;8;39;-100289832#1_0;0;0;79.07;39;1.53;1.37;56.93;3.78;0.27;41.15;0.06;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289857;0;0.29;7;0;-100289857_0;0;0;0.29;7;0.14;9.56;61.54;6.67;0.48;30.10;8.86;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289865#0;0;2.77;0;53;-100289865#0_0;0;0;2.77;53;1.28;9.26;491.03;5.86;0.42;253.22;8.38;98.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289865#1;0;1.79;7;47;-100289865#1_0;0;0;1.79;54;0.80;6.20;330.96;9.09;0.65;103.44;5.66;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#0;23;0.51;0;23;-100289866#0_0;0;0;0.51;0;0.25;15.29;349.90;12.81;0.92;31.44;14.91;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#1;0;0.63;0;23;-100289866#1_0;0;0;0.63;23;0.30;13.05;300.07;10.45;0.75;77.09;12.38;0.00
