interval_begin;interval_end;interval_id;edge_id;lane_arrived;lane_density;lane_departed;lane_entered;lane_id;lane_laneChangedFrom;lane_laneChangedTo;lane_laneDensity;lane_left;lane_occupancy;lane_overlapTraveltime;lane_sampledSeconds;lane_speed;lane_speedRelative;lane_timeLoss;lane_traveltime;lane_waitingTime
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#0;0;0.52;0;18;-100289765#0_0;0;0;0.52;18;0.23;4.09;73.58;10.83;0.78;7.87;3.41;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#1;0;0.59;6;12;-100289765#1_0;0;0;0.59;18;0.27;4.84;83.82;9.17;0.66;28.51;4.46;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#2;0;15.78;0;12;-100289765#2_0;0;0;15.78;12;0.30;0.95;11.36;5.49;0.40;6.81;0.04;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#0;3;0.07;0;3;-100289774#0_0;0;0;0.07;0;0.03;4.00;11.50;12.33;0.89;0.77;3.61;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#1;3;0.15;0;6;-100289774#1_0;0;0;0.15;3;0.07;4.40;25.98;11.76;0.85;2.30;3.99;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#2;3;0.49;0;12;-100289774#2_0;0;0;0.49;9;0.20;7.21;85.95;7.51;0.54;35.02;5.72;8.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#3;0;1.06;3;27;-100289774#3_0;0;0;1.06;30;0.46;5.10;151.30;8.79;0.63;40.98;4.28;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#4;0;0.48;0;18;-100289774#4_0;0;0;0.48;18;0.22;4.93;88.72;11.43;0.82;15.87;4.55;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289777;3;0.10;0;3;-100289777_0;0;0;0.10;0;0.04;3.10;9.29;9.96;0.72;2.91;2.69;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#0;0;2.70;0;96;-100289779#0_0;0;0;2.70;96;1.10;2.35;225.48;12.01;0.86;31.46;1.91;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#2;0;2.04;0;87;-100289779#2_0;0;0;2.04;87;0.97;8.90;774.70;12.39;0.89;83.78;8.52;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#3;0;0.98;0;42;-100289779#3_0;0;0;0.98;42;0.47;10.67;448.05;12.38;0.89;42.81;10.27;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#4;0;0.64;0;24;-100289779#4_0;0;0;0.64;24;0.27;2.77;66.52;12.24;0.88;7.30;2.39;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#5;0;0.80;3;21;-100289779#5_0;0;0;0.80;24;0.33;2.46;57.47;10.17;0.73;12.00;1.98;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289780;3;0.25;6;3;-100289780_0;0;0;0.25;6;0.12;14.09;123.63;10.01;0.72;35.08;13.39;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#0;3;0.33;3;9;-100289784#0_0;0;0;0.33;9;0.16;14.67;174.30;10.50;0.76;36.36;13.81;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#1;0;0.25;0;9;-100289784#1_0;0;0;0.25;9;0.11;4.65;41.86;11.25;0.81;7.75;4.26;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289793;0;13.95;3;6;-100289793_0;0;0;13.95;9;0.27;1.13;10.05;4.60;0.33;5.41;0.03;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289802#1;0;0.29;3;3;-100289802#1_0;0;0;0.29;6;0.13;4.79;26.30;6.29;0.45;11.36;3.88;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289802#2;0;0.10;0;3;-100289802#2_0;0;0;0.10;3;0.04;6.18;18.54;9.33;0.67;5.85;5.56;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289812#1;0;0.67;3;15;-100289812#1_0;0;0;0.67;18;0.31;6.61;117.18;8.11;0.58;42.68;5.92;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289823;3;0.07;0;3;-100289823_0;0;0;0.07;0;0.03;10.90;32.28;12.06;0.87;5.03;10.52;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289829;3;0.14;0;6;-100289829_0;0;0;0.14;3;0.07;15.96;95.38;12.09;0.87;14.07;15.37;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#0;3;4.02;0;155;-100289830#0_0;0;0;4.02;151;1.67;2.37;364.74;12.76;0.92;30.55;1.96;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#2;0;5.03;0;155;-100289830#2_0;0;0;5.03;155;1.66;1.15;177.51;12.93;0.93;12.60;0.76;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#3;0;4.27;0;155;-100289830#3_0;0;0;4.27;155;1.78;2.59;401.59;12.02;0.87;54.83;2.20;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289832#0;0;0.46;3;15;-100289832#0_0;0;0;0.46;18;0.22;16.40;293.89;11.17;0.80;39.96;15.44;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289832#1;3;29.90;3;15;-100289832#1_0;0;0;29.90;15;0.58;1.36;21.52;3.82;0.27;15.41;0.06;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289857;0;0.12;3;0;-100289857_0;0;0;0.12;3;0.06;9.41;25.96;6.77;0.49;12.57;8.71;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289865#0;0;0.93;0;21;-100289865#0_0;0;0;0.93;21;0.42;7.82;164.27;6.94;0.50;66.79;6.87;23.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289865#1;0;0.70;3;18;-100289865#1_0;0;0;0.70;21;0.31;6.23;129.21;9.04;0.65;40.01;5.73;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#0;9;0.21;0;9;-100289866#0_0;0;0;0.21;0;0.10;16.30;145.83;12.01;0.86;12.75;15.89;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#1;0;0.24;0;9;-100289866#1_0;0;0;0.24;9;0.11;12.50;112.47;10.92;0.79;19.18;11.79;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#2;0;0.23;0;9;-100289866#2_0;0;0;0.23;9;0.11;11.67;105.03;11.53;0.83;13.03;11.26;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289874#1;0;0.21;0;6;-100289874#1_0;0;0;0.21;6;0.09;5.06;30.35;9.03;0.65;10.26;4.41;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289874#2;3;0.32;3;6;-100289874#2_0;0;0;0.32;6;0.14;5.85;50.77;8.47;0.61;18.76;5.32;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289875;0;0.21;6;0;-100289875_0;0;0;0.21;6;0.10;8.21;45.32;7.82;0.56;18.44;7.38;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289880#0;6;0.21;0;9;-100289880#0_0;0;0;0.21;3;0.10;10.76;96.32;12.40;0.89;8.28;10.23;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289880#1;6;0.44;0;18;-100289880#1_0;0;0;0.44;12;0.21;9.46;169.37;11.86;0.85;20.54;8.99;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289884#0;0;0.08;0;3;-100289884#0_0;0;0;0.08;3;0.04;10.93;32.80;11.05;0.80;7.91;10.13;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289884#1;3;0.63;0;18;-100289884#1_0;0;0;0.63;15;0.28;6.13;109.76;8.67;0.62;32.18;5.33;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289887#0;0;2.24;0;72;-100289887#0_0;0;0;2.24;72;1.03;9.74;701.21;9.46;0.68;171.84;8.82;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289887#1;0;1.70;12;39;-100289887#1_0;0;0;1.70;51;0.74;3.23;158.18;9.55;0.69;47.95;2.79;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289887#2;0;0.89;3;33;-100289887#2_0;0;0;0.89;36;0.43;11.80;423.39;11.61;0.84;59.83;11.38;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289887#3;0;0.57;3;18;-100289887#3_0;0;0;0.57;21;0.28;16.03;335.15;10.49;0.76;77.21;15.35;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289887#4;0;0.58;18;0;-100289887#4_0;0;0;0.58;18;0.17;1.27;12.05;8.47;0.61;4.65;0.72;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289893#0;0;0.12;3;0;-100289893#0_0;0;0;0.12;3;0.06;8.63;23.73;7.14;0.51;9.37;7.75;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289893#1;0;0.38;9;0;-100289893#1_0;0;0;0.38;9;0.18;8.19;66.68;6.57;0.47;29.01;7.45;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#0;0;17.11;0;48;-100289894#0_0;0;0;17.11;48;1.32;1.17;56.06;5.06;0.36;9.12;0.18;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#1;0;6.80;3;45;-100289894#1_0;0;0;6.80;48;1.15;1.30;60.93;5.78;0.42;30.00;0.38;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#2;0;0.73;3;24;-100289894#2_0;0;0;0.73;27;0.33;5.13;137.15;11.21;0.81;25.19;4.66;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#4;0;0.57;3;18;-100289894#4_0;0;0;0.57;21;0.26;3.95;81.63;11.29;0.81;14.93;3.55;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#5;0;0.63;3;18;-100289894#5_0;0;0;0.63;21;0.28;5.46;113.04;10.06;0.72;30.01;4.85;3.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#6;0;0.46;6;9;-100289894#6_0;0;0;0.46;15;0.21;4.81;68.99;9.66;0.70;19.96;4.41;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289894#7;0;0.28;0;9;-100289894#7_0;0;0;0.28;9;0.12;5.24;47.20;9.83;0.71;13.19;4.86;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-1017426837;3;0.54;0;3;-1017426837_0;0;0;0.54;0;0.02;1.29;0.75;4.17;0.30;0.51;0.10;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-1095740302;3;0.18;0;12;-1095740302_0;0;0;0.18;9;0.09;14.68;176.19;18.92;0.68;43.25;13.32;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-115090421;3;0.09;0;3;-115090421_0;0;0;0.09;0;0.04;4.43;12.93;9.82;0.71;3.47;4.01;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847237;0;0.17;6;0;-124847237_0;0;0;0.17;6;0.08;13.16;75.89;10.02;0.72;15.97;12.29;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847241;21;0.49;0;21;-124847241_0;0;0;0.49;0;0.23;11.88;247.97;12.29;0.89;34.60;11.50;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847242;0;0.33;12;0;-124847242_0;0;0;0.33;12;0.16;12.90;148.79;10.18;0.73;30.88;12.06;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847246;3;0.08;0;3;-124847246_0;0;0;0.08;0;0.04;13.55;40.13;11.12;0.80;7.19;13.11;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847247;0;0.63;21;0;-124847247_0;0;0;0.63;21;0.30;14.20;286.52;9.25;0.67;94.44;13.13;3.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847260#0;0;0.40;0;9;-124847260#0_0;0;0;0.40;9;0.17;5.30;47.68;7.20;0.52;18.18;4.55;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847260#1;0;0.09;3;0;-124847260#1_0;0;0;0.09;3;0.04;3.85;9.92;9.36;0.67;3.11;3.42;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847263#0;0;0.15;3;0;-124847263#0_0;0;0;0.15;3;0.07;7.96;21.17;5.62;0.40;13.02;7.24;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847266#0;6;0.14;0;6;-124847266#0_0;0;0;0.14;0;0.07;15.24;91.41;12.26;0.88;10.75;14.86;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847277#1;0;2.35;6;27;-124847277#1_0;0;0;2.35;33;1.00;4.53;143.30;4.83;0.35;83.82;3.69;16.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847277#2;0;0.69;3;21;-124847277#2_0;0;0;0.69;24;0.32;7.12;169.33;10.35;0.75;43.79;6.59;4.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847277#3;0;0.43;3;9;-124847277#3_0;0;0;0.43;12;0.18;2.66;30.25;9.27;0.67;10.81;2.22;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847277#4;0;0.24;9;0;-124847277#4_0;0;0;0.24;9;0.11;2.39;17.07;10.39;0.75;4.83;1.96;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#0;12;0.28;0;12;-124847280#0_0;0;0;0.28;0;0.14;13.24;158.00;12.13;0.87;16.15;12.85;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#1;0;0.63;0;12;-124847280#1_0;0;0;0.63;12;0.23;2.90;34.82;7.04;0.51;11.38;2.20;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#3;0;0.28;0;6;-124847280#3_0;0;0;0.28;6;0.11;4.42;26.54;7.15;0.51;10.00;3.51;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#4;0;2.37;0;27;-124847280#4_0;0;0;2.37;27;0.72;2.23;60.33;5.40;0.39;18.88;1.23;1.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#5;0;26.97;0;27;-124847280#5_0;0;0;26.97;27;0.52;0.72;19.42;7.23;0.52;9.51;0.03;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-124847280#6;0;0.27;6;0;-124847280#6_0;0;0;0.27;6;0.13;9.62;52.81;6.24;0.45;28.45;8.84;2.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-235501417#2;0;0.19;0;6;-235501417#2_0;0;0;0.19;6;0.09;7.71;46.26;9.43;0.68;13.37;6.81;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-235501417#3;0;0.08;0;3;-235501417#3_0;0;0;0.08;3;0.03;4.25;12.74;12.03;0.87;1.30;3.83;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-235501417#4;0;0.09;0;3;-235501417#4_0;0;0;0.09;3;0.04;4.76;14.29;9.83;0.71;3.80;4.35;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-237460520;0;0.36;3;3;-237460520_0;0;0;0.36;6;0.17;11.96;68.57;4.82;0.35;40.19;10.74;12.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-24037248;3;0.17;0;15;-24037248_0;0;0;0.17;12;0.08;9.87;148.04;24.46;0.80;26.97;9.69;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-24037249;0;0.36;0;15;-24037249_0;0;0;0.36;15;0.16;3.48;52.13;12.97;0.47;28.13;3.17;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-24037262;0;2.28;0;191;-24037262_0;0;0;2.28;191;1.09;5.61;1070.82;24.15;0.87;136.02;5.35;0.00
