interval_begin;interval_end;interval_id;edge_id;lane_arrived;lane_density;lane_departed;lane_entered;lane_id;lane_laneChangedFrom;lane_laneChangedTo;lane_laneDensity;lane_left;lane_occupancy;lane_overlapTraveltime;lane_sampledSeconds;lane_speed;lane_speedRelative;lane_timeLoss;lane_traveltime;lane_waitingTime
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#0;0;0.35;0;12;-100289765#0_0;0;0;0.35;12;0.15;4.08;48.94;10.85;0.78;6.17;3.39;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#1;0;0.38;4;8;-100289765#1_0;0;0;0.38;12;0.17;4.64;53.54;9.57;0.69;16.80;4.25;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#2;0;10.00;0;8;-100289765#2_0;0;0;10.00;8;0.19;0.90;7.20;5.78;0.42;4.25;0.04;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#0;2;0.04;0;2;-100289774#0_0;0;0;0.04;0;0.02;3.47;6.60;14.24;1.02;0.26;3.12;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#1;2;0.09;0;4;-100289774#1_0;0;0;0.09;2;0.04;3.93;15.58;13.18;0.95;1.07;3.56;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#2;2;0.22;0;8;-100289774#2_0;0;0;0.22;6;0.10;4.89;39.10;11.08;0.80;7.90;4.43;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#3;0;0.66;2;18;-100289774#3_0;0;0;0.66;20;0.29;4.80;94.97;9.33;0.67;22.77;3.99;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#4;0;0.32;0;12;-100289774#4_0;0;0;0.32;12;0.14;4.86;58.35;11.58;0.83;9.85;4.49;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289777;2;0.07;0;2;-100289777_0;0;0;0.07;0;0.03;3.08;6.05;10.00;0.72;2.05;2.68;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#0;0;1.76;0;64;-100289779#0_0;0;0;1.76;64;0.72;2.29;146.65;12.31;0.89;17.71;1.86;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#2;0;1.35;0;58;-100289779#2_0;0;0;1.35;58;0.64;8.85;513.24;12.47;0.90;55.58;8.46;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#3;0;0.64;0;28;-100289779#3_0;0;0;0.64;28;0.31;10.41;291.45;12.69;0.91;26.12;10.02;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#4;0;0.42;0;16;-100289779#4_0;0;0;0.42;16;0.18;2.72;43.53;12.47;0.90;4.53;2.34;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#5;0;0.50;2;14;-100289779#5_0;0;0;0.50;16;0.21;2.30;35.87;10.86;0.78;6.81;1.84;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289780;2;0.17;4;2;-100289780_0;0;0;0.17;4;0.08;14.60;85.13;9.66;0.70;21.79;13.88;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#0;2;0.20;2;6;-100289784#0_0;0;0;0.20;6;0.09;13.37;105.77;11.52;0.83;14.33;12.60;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#1;0;0.16;0;6;-100289784#1_0;0;0;0.16;6;0.07;4.54;27.22;11.53;0.83;4.26;4.16;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289793;0;10.02;2;4;-100289793_0;0;0;10.02;6;0.20;1.22;7.21;4.27;0.31;3.99;0.04;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289802#1;0;0.19;2;2;-100289802#1_0;0;0;0.19;4;0.08;4.64;16.98;6.49;0.47;7.45;3.80;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289802#2;0;0.08;0;2;-100289802#2_0;0;0;0.08;2;0.04;7.37;14.75;7.82;0.56;6.40;6.54;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289812#1;0;0.44;2;10;-100289812#1_0;0;0;0.44;12;0.20;6.55;77.31;8.19;0.59;28.79;5.79;1.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289823;2;0.05;0;2;-100289823_0;0;0;0.05;0;0.02;12.01;23.85;10.95;0.79;4.13;11.60;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289829;2;0.09;0;4;-100289829_0;0;0;0.09;2;0.04;15.18;60.13;12.71;0.91;6.98;14.63;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#0;2;2.67;0;104;-100289830#0_0;0;0;2.67;102;1.11;2.33;242.11;12.93;0.93;15.85;1.94;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#2;0;3.37;0;104;-100289830#2_0;0;0;3.37;104;1.12;1.14;118.86;12.96;0.93;7.57;0.76;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#3;0;2.86;0;104;-100289830#3_0;0;0;2.86;104;1.19;2.59;269.05;12.04;0.87;35.06;2.20;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289832#0;0;0.29;2;10;-100289832#0_0;0;0;0.29;12;0.14;15.55;185.68;11.79;0.85;26.60;14.66;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289832#1;2;19.35;2;10;-100289832#1_0;0;0;19.35;10;0.37;1.29;13.93;4.02;0.29;10.10;0.06;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289857;0;0.09;2;0;-100289857_0;0;0;0.09;2;0.04;9.81;18.05;6.50;0.47;9.64;9.07;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289865#0;0;0.56;0;14;-100289865#0_0;0;0;0.56;14;0.26;7.15;100.10;7.60;0.55;39.23;6.21;8.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289865#1;0;0.44;2;12;-100289865#1_0;0;0;0.44;14;0.20;5.86;81.04;9.61;0.69;24.96;5.41;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#0;6;0.13;0;6;-100289866#0_0;0;0;0.13;0;0.07;15.55;92.53;12.59;0.91;5.80;15.17;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#1;0;0.15;0;6;-100289866#1_0;0;0;0.15;6;0.07;11.89;71.36;11.47;0.83;10.36;11.24;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289866#2;0;0.14;0;6;-100289866#2_0;0;0;0.14;6;0.07;11.15;66.90;12.06;0.87;6.75;10.75;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289874#1;0;0.15;0;4;-100289874#1_0;0;0;0.15;4;0.07;5.50;22.00;8.31;0.60;8.69;4.81;0.00
