interval_begin;interval_end;interval_id;edge_id;lane_arrived;lane_density;lane_departed;lane_entered;lane_id;lane_laneChangedFrom;lane_laneChangedTo;lane_laneDensity;lane_left;lane_occupancy;lane_overlapTraveltime;lane_sampledSeconds;lane_speed;lane_speedRelative;lane_timeLoss;lane_traveltime;lane_waitingTime
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#0;0;0.22;0;8;-100289765#0_0;0;0;0.22;8;0.10;3.90;31.24;11.33;0.82;4.01;3.23;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#1;0;0.25;3;5;-100289765#1_0;0;0;0.25;8;0.12;4.72;36.16;9.40;0.68;12.80;4.35;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#2;0;5.95;0;5;-100289765#2_0;0;0;5.95;5;0.11;0.86;4.29;6.06;0.44;2.57;0.04;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#0;1;0.02;0;1;-100289774#0_0;0;0;0.02;0;0.01;3.80;3.80;12.99;0.94;0.23;3.41;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#1;2;0.06;0;3;-100289774#1_0;0;0;0.06;1;0.03;3.54;10.61;14.64;1.05;0.54;3.20;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#2;1;0.16;0;6;-100289774#2_0;0;0;0.16;5;0.07;4.84;28.59;11.19;0.81;6.61;4.38;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#3;0;0.42;2;11;-100289774#3_0;0;0;0.42;13;0.19;4.76;60.79;9.42;0.68;14.66;3.99;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#4;0;0.21;0;8;-100289774#4_0;0;0;0.21;8;0.09;4.74;37.89;11.89;0.86;6.84;4.37;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289777;1;0.03;0;1;-100289777_0;0;0;0.03;0;0.01;3.02;3.02;10.21;0.74;0.75;2.62;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#0;0;1.24;0;46;-100289779#0_0;0;0;1.24;46;0.51;2.25;103.66;12.52;0.90;9.97;1.84;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#2;0;0.97;0;42;-100289779#2_0;0;0;0.97;42;0.46;8.75;367.64;12.60;0.91;33.71;8.38;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#3;0;0.45;0;20;-100289779#3_0;0;0;0.45;20;0.21;10.22;204.34;12.92;0.93;12.97;9.84;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#4;0;0.35;0;13;-100289779#4_0;0;0;0.35;13;0.15;2.80;36.45;12.10;0.87;4.42;2.42;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#5;0;0.37;1;11;-100289779#5_0;0;0;0.37;12;0.15;2.25;26.50;11.12;0.80;4.77;1.78;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289780;2;0.17;4;2;-100289780_0;0;0;0.17;4;0.08;13.96;81.71;10.10;0.73;22.87;13.27;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#0;2;0.14;1;5;-100289784#0_0;0;0;0.14;4;0.07;12.68;75.49;12.14;0.87;8.39;11.98;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#1;0;0.13;0;5;-100289784#1_0;0;0;0.13;5;0.06;4.44;22.21;11.78;0.85;3.60;4.07;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289793;0;9.27;2;4;-100289793_0;0;0;9.27;6;0.18;1.13;6.68;4.61;0.33;3.82;0.03;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289802#1;0;0.10;1;1;-100289802#1_0;0;0;0.10;2;0.04;5.02;9.18;6.00;0.43;3.27;3.97;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289802#2;0;0.03;0;1;-100289802#2_0;0;0;0.03;1;0.02;6.40;6.40;9.01;0.65;2.23;5.63;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289812#1;0;0.24;1;6;-100289812#1_0;0;0;0.24;7;0.11;6.10;42.13;8.79;0.63;13.63;5.39;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289823;1;0.02;0;1;-100289823_0;0;0;0.02;0;0.01;11.36;11.36;11.58;0.83;1.93;10.98;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289829;1;0.04;0;2;-100289829_0;0;0;0.04;1;0.02;14.96;29.91;12.90;0.93;3.29;14.49;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#0;2;2.00;0;77;-100289830#0_0;0;0;2.00;75;0.83;2.35;181.08;12.83;0.92;13.33;1.96;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#2;0;2.49;0;77;-100289830#2_0;0;0;2.49;77;0.82;1.14;87.89;12.97;0.93;5.55;0.76;0.00
