interval_begin;interval_end;interval_id;edge_id;lane_arrived;lane_density;lane_departed;lane_entered;lane_id;lane_laneChangedFrom;lane_laneChangedTo;lane_laneDensity;lane_left;lane_occupancy;lane_overlapTraveltime;lane_sampledSeconds;lane_speed;lane_speedRelative;lane_timeLoss;lane_traveltime;lane_waitingTime
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#0;0;0.17;0;6;-100289765#0_0;0;0;0.17;6;0.07;3.98;23.89;11.11;0.80;2.07;3.30;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#1;0;0.19;2;4;-100289765#1_0;0;0;0.19;6;0.08;4.57;26.38;9.71;0.70;8.04;4.19;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#2;0;5.11;0;4;-100289765#2_0;0;0;5.11;4;0.10;0.92;3.68;5.65;0.41;2.19;0.04;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#0;1;0.02;0;1;-100289774#0_0;0;0;0.02;0;0.01;3.86;3.72;12.78;0.92;0.21;3.46;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#1;1;0.05;0;2;-100289774#1_0;0;0;0.05;1;0.02;4.04;8.08;12.81;0.92;0.47;3.65;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#2;1;0.11;0;4;-100289774#2_0;0;0;0.11;3;0.05;4.92;19.67;11.01;0.79;3.51;4.48;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#3;0;0.34;1;9;-100289774#3_0;0;0;0.34;10;0.15;4.88;48.21;9.19;0.66;11.50;4.05;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#4;0;0.16;0;6;-100289774#4_0;0;0;0.16;6;0.07;4.96;29.78;11.35;0.82;5.59;4.59;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289777;1;0.03;0;1;-100289777_0;0;0;0.03;0;0.01;3.45;3.11;8.92;0.64;1.08;2.93;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#0;0;0.85;0;32;-100289779#0_0;0;0;0.85;32;0.35;2.23;71.21;12.68;0.91;6.79;1.82;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#2;0;0.66;0;29;-100289779#2_0;0;0;0.66;29;0.31;8.63;250.14;12.79;0.92;20.85;8.25;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#3;0;0.30;0;14;-100289779#3_0;0;0;0.30;14;0.15;9.95;139.36;13.27;0.96;7.95;9.58;0.00
