interval_begin;interval_end;interval_id;edge_id;lane_arrived;lane_density;lane_departed;lane_entered;lane_id;lane_laneChangedFrom;lane_laneChangedTo;lane_laneDensity;lane_left;lane_occupancy;lane_overlapTraveltime;lane_sampledSeconds;lane_speed;lane_speedRelative;lane_timeLoss;lane_traveltime;lane_waitingTime
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#0;0;0.03;0;1;-100289765#0_0;0;0;0.03;1;0.01;4.32;4.32;10.25;0.74;0.63;3.53;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#1;0;0.03;0;1;-100289765#1_0;0;0;0.03;1;0.01;4.02;4.02;11.06;0.80;0.64;3.62;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289765#2;0;1.46;0;1;-100289765#2_0;0;0;1.46;1;0.03;1.05;1.05;4.94;0.36;0.66;0.05;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#3;0;0.03;0;1;-100289774#3_0;0;0;0.03;1;0.01;4.50;4.50;9.97;0.72;0.63;3.55;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289774#4;0;0.03;0;1;-100289774#4_0;0;0;0.03;1;0.01;5.53;5.53;10.18;0.73;1.25;5.13;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#0;0;0.13;0;5;-100289779#0_0;0;0;0.13;5;0.05;2.17;10.87;12.97;0.93;0.83;1.79;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#2;0;0.09;0;4;-100289779#2_0;0;0;0.09;4;0.04;8.49;33.95;13.00;0.94;2.02;8.10;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#3;0;0.07;0;3;-100289779#3_0;0;0;0.07;3;0.03;9.99;29.97;13.22;0.95;1.79;9.62;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#4;0;0.05;0;2;-100289779#4_0;0;0;0.05;2;0.02;2.68;5.36;12.66;0.91;0.34;2.28;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289779#5;0;0.05;0;2;-100289779#5_0;0;0;0.05;2;0.02;1.91;3.83;13.06;0.94;0.13;1.53;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289784#0;0;0.03;1;0;-100289784#0_0;0;0;0.03;1;0.01;14.44;13.97;10.66;0.77;3.88;13.56;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289812#1;0;0.03;0;1;-100289812#1_0;0;0;0.03;1;0.01;5.49;5.49;9.77;0.70;1.81;4.66;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#0;0;0.13;0;5;-100289830#0_0;0;0;0.13;5;0.05;2.33;11.63;12.97;0.93;0.57;1.94;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#2;0;0.16;0;5;-100289830#2_0;0;0;0.16;5;0.05;1.14;5.70;12.99;0.94;0.27;0.76;0.00
00:00:00;01:00:00;DEFAULT_LANEDATA;-100289830#3;0;0.14;0;5;-100289830#3_0;0;0;0.14;5;0.06;2.56;12.78;12.19;0.88;1.36;2.17;0.00
