Lane_Density,Lane_Timeloss,Lane_id,Simulazione
0.07,2.16,-24496199#1_0,/root/Desktop/simulazione-1.csv
0.49,17.65,-24496199#1_0,/root/Desktop/simulazione-2.csv
1.18,41.24,-24496199#1_0,/root/Desktop/simulazione-3.csv
1.92,74.54,-24496199#1_0,/root/Desktop/simulazione-4.csv
2.47,103.32,-24496199#1_0,/root/Desktop/simulazione-5.csv
3.84,173.97,-24496199#1_0,/root/Desktop/simulazione-6.csv
6.76,361.03,-24496199#1_0,/root/Desktop/simulazione-7.csv
13.83,1266.04,-24496199#1_0,/root/Desktop/simulazione-8.csv
41.11,6451.06,-24496199#1_0,/root/Desktop/simulazione-9.csv
