Pos , Sim , Lane_id , Traffic_density , Timeloss
1 , simulazione-1 , -24496199#1_0 , 0.07 , 2.16
2 , simulazione-2 , -24496199#1_0 , 0.49 , 17.65
3 , simulazione-3 , -24496199#1_0 , 1.18 , 41.24
4 , simulazione-4 , -24496199#1_0 , 1.92 , 74.54
5 , simulazione-5 , -24496199#1_0 , 2.47 , 103.32
6 , simulazione-6 , -24496199#1_0 , 3.84 , 173.97
7 , simulazione-7 , -24496199#1_0 , 6.76 , 361.03
8 , simulazione-8 , -24496199#1_0 , 13.83 , 1266.04
9 , simulazione-9 , -24496199#1_0 , 41.11 , 6451.06
