Lane_Density,Lane_Timeloss,Lane_id,Simulazione
0.54,0.63,24235718#1_0,/root/Desktop/simulazione-1.csv
2.83,5.16,24235718#1_0,/root/Desktop/simulazione-2.csv
6.96,12.69,24235718#1_0,/root/Desktop/simulazione-3.csv
10.92,21.07,24235718#1_0,/root/Desktop/simulazione-4.csv
14.16,27.47,24235718#1_0,/root/Desktop/simulazione-5.csv
21.18,42.48,24235718#1_0,/root/Desktop/simulazione-6.csv
35.66,74.04,24235718#1_0,/root/Desktop/simulazione-7.csv
55.76,140.50,24235718#1_0,/root/Desktop/simulazione-8.csv
52.91,137.88,24235718#1_0,/root/Desktop/simulazione-9.csv
